PROCESS_CONTROL_ID,TRANSACTION_CONTROL_ID,LOG_MESSAGE_STATUS,LOG_MESSAGE_DATE,LOG_MESSAGE_TEXT,CREATED_BY,CREATION_DATE,LAST_UPDATE_DATE,LAST_UPDATED_BY
147108,2526,I,"2022-11-28 08:57:02","Latest Transaction Control ID Refresh Completed",event_scheduler@localhost,"2022-11-28 08:57:02","2022-11-28 08:57:02",event_scheduler@localhost
147109,2526,I,"2022-11-28 08:57:02","Refresh OHRMBI BPR Roster Refresh",event_scheduler@localhost,"2022-11-28 08:57:02","2022-11-28 08:57:02",event_scheduler@localhost
147110,2526,I,"2022-11-28 08:57:02","Refresh OHRMBI BPR Transaction : Process Started",event_scheduler@localhost,"2022-11-28 08:57:02","2022-11-28 08:57:02",event_scheduler@localhost
147111,2526,I,"2022-11-28 08:57:08","Refresh OHRMBI : Delete ohrmbi_bpr_employee_roster12127",event_scheduler@localhost,"2022-11-28 08:57:08","2022-11-28 08:57:08",event_scheduler@localhost
147112,2526,I,"2022-11-28 08:57:57","Refresh OHRMBI : Insert ohrmbi_bpr_employee_roster12127",event_scheduler@localhost,"2022-11-28 08:57:57","2022-11-28 08:57:57",event_scheduler@localhost
147113,2526,I,"2022-11-28 08:57:57","Refresh OHRMBI : Delete OHRMBI_BPR_ROSTER_RECORD_DATES1",event_scheduler@localhost,"2022-11-28 08:57:57","2022-11-28 08:57:57",event_scheduler@localhost
147114,2526,I,"2022-11-28 08:57:58","Refresh OHRMBI: Insert OHRMBI_BPR_ROSTER_RECORD_DATES1",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147115,2526,I,"2022-11-28 08:57:58","Refresh OHRMBI : Update OHRMBI_BPR_ROSTER_RECORD_DATES52",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147116,2526,I,"2022-11-28 08:57:58","Refresh SF50 Transaction : Process Completed",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147117,2526,S,"2022-11-28 08:57:58","Snapshot Process Successfully Completed for Business Set :GSASH",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147118,-1,I,"2022-11-28 08:57:58","Process Step 10 StartedGSA032022-11-28",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147119,-1,I,"2022-11-28 08:57:58","Process Step 20 : Snapshot CursorGSA032022-11-28",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147120,-1,I,"2022-11-28 08:57:58","Process Step 30 : Master Control CursorGSA032022-11-28",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147121,-1,I,"2022-11-28 08:57:58","Process Step 40 : Master Control CursorGSA032022-11-28",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147122,-1,I,"2022-11-28 08:57:58","Process Step 60 : Snapshot Control CompletedGSA032022-11-28",event_scheduler@localhost,"2022-11-28 08:57:58","2022-11-28 08:57:58",event_scheduler@localhost
147123,2527,I,"2022-11-28 08:57:59","Location Refresh Completed",event_scheduler@localhost,"2022-11-28 08:57:59","2022-11-28 08:57:59",event_scheduler@localhost
147124,2527,I,"2022-11-28 08:57:59","Organization Refresh Completed",event_scheduler@localhost,"2022-11-28 08:57:59","2022-11-28 08:57:59",event_scheduler@localhost
147125,2527,I,"2022-11-28 08:58:00","Organization Hierarchy Refresh Completed",event_scheduler@localhost,"2022-11-28 08:58:00","2022-11-28 08:58:00",event_scheduler@localhost
147126,2527,S,"2022-11-28 08:58:32","Employee Person Refresh Completed",event_scheduler@localhost,"2022-11-28 08:58:32","2022-11-28 08:58:32",event_scheduler@localhost
147127,2527,S,"2022-11-28 08:59:17","Ex-Employee Person Refresh Phase I Completed",event_scheduler@localhost,"2022-11-28 08:59:17","2022-11-28 08:59:17",event_scheduler@localhost
147128,2527,S,"2022-11-28 08:59:18","Ex-Employee Person Refresh Phase II Completed",event_scheduler@localhost,"2022-11-28 08:59:18","2022-11-28 08:59:18",event_scheduler@localhost
147129,2527,S,"2022-11-28 08:59:18","Ex-Employee Person Refresh Phase III Completed",event_scheduler@localhost,"2022-11-28 08:59:18","2022-11-28 08:59:18",event_scheduler@localhost
147130,2527,I,"2022-11-28 08:59:18","Person Refresh Completed",event_scheduler@localhost,"2022-11-28 08:59:18","2022-11-28 08:59:18",event_scheduler@localhost
147131,2527,I,"2022-11-28 08:59:22","Job Code Refresh Completed",event_scheduler@localhost,"2022-11-28 08:59:22","2022-11-28 08:59:22",event_scheduler@localhost
147132,2527,S,"2022-11-28 08:59:22","Encumbered Position Started",event_scheduler@localhost,"2022-11-28 08:59:22","2022-11-28 08:59:22",event_scheduler@localhost
147133,2527,S,"2022-11-28 08:59:27","Encumbered Position Completed",event_scheduler@localhost,"2022-11-28 08:59:27","2022-11-28 08:59:27",event_scheduler@localhost
147134,2527,S,"2022-11-28 08:59:27","Encumbered and Ex-Employee Position Occupancy Completed",event_scheduler@localhost,"2022-11-28 08:59:27","2022-11-28 08:59:27",event_scheduler@localhost
147135,2527,S,"2022-11-28 08:59:31","Vacant Position Completed",event_scheduler@localhost,"2022-11-28 08:59:31","2022-11-28 08:59:31",event_scheduler@localhost
147136,2527,S,"2022-11-28 08:59:31","Vacant Position Occupancy Completed",event_scheduler@localhost,"2022-11-28 08:59:31","2022-11-28 08:59:31",event_scheduler@localhost
147137,2527,S,"2022-11-28 09:00:47","Encumbered Detail Position Completed",event_scheduler@localhost,"2022-11-28 09:00:47","2022-11-28 09:00:47",event_scheduler@localhost
147138,2527,S,"2022-11-28 09:00:47","Detail Position Occupancy Employee Completed",event_scheduler@localhost,"2022-11-28 09:00:47","2022-11-28 09:00:47",event_scheduler@localhost
147139,2527,S,"2022-11-28 09:00:47","Obligated Update Completed",event_scheduler@localhost,"2022-11-28 09:00:47","2022-11-28 09:00:47",event_scheduler@localhost
147140,2527,S,"2022-11-28 09:00:47","Detail Update Completed",event_scheduler@localhost,"2022-11-28 09:00:47","2022-11-28 09:00:47",event_scheduler@localhost
147141,2527,S,"2022-11-28 09:00:47","Hierarchy Temp Table Completed",event_scheduler@localhost,"2022-11-28 09:00:47","2022-11-28 09:00:47",event_scheduler@localhost
147142,2527,S,"2022-11-28 09:00:51","Hierarchy Update Completed",event_scheduler@localhost,"2022-11-28 09:00:51","2022-11-28 09:00:51",event_scheduler@localhost
147143,2527,S,"2022-11-28 09:00:55","Position Hierarchy Traverse and Update Completed",event_scheduler@localhost,"2022-11-28 09:00:55","2022-11-28 09:00:55",event_scheduler@localhost
147144,2527,I,"2022-11-28 09:00:55","Position Refresh Completed",event_scheduler@localhost,"2022-11-28 09:00:55","2022-11-28 09:00:55",event_scheduler@localhost
147145,2527,S,"2022-11-28 09:01:02","Job Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:02","2022-11-28 09:01:02",event_scheduler@localhost
147146,2527,S,"2022-11-28 09:01:03","Job Refresh Supervisor Traversal Completed. Rows Updated: 29",event_scheduler@localhost,"2022-11-28 09:01:03","2022-11-28 09:01:03",event_scheduler@localhost
147147,2527,S,"2022-11-28 09:01:03","nhrdw_ps_z_telework_refresh Started",event_scheduler@localhost,"2022-11-28 09:01:03","2022-11-28 09:01:03",event_scheduler@localhost
147148,2527,S,"2022-11-28 09:01:03","nhrdw_ps_z_telework_refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:03","2022-11-28 09:01:03",event_scheduler@localhost
147149,2527,S,"2022-11-28 09:01:03","Multiple Encumbrance Positions. Rows Updated: 0",event_scheduler@localhost,"2022-11-28 09:01:03","2022-11-28 09:01:03",event_scheduler@localhost
147150,2527,S,"2022-11-28 09:01:08","All Override Supervisor Person ID Updated.548",event_scheduler@localhost,"2022-11-28 09:01:08","2022-11-28 09:01:08",event_scheduler@localhost
147151,2527,I,"2022-11-28 09:01:08","Job Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:08","2022-11-28 09:01:08",event_scheduler@localhost
147152,2527,I,"2022-11-28 09:01:12","Employment Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:12","2022-11-28 09:01:12",event_scheduler@localhost
147153,2527,I,"2022-11-28 09:01:12","Pay Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:12","2022-11-28 09:01:12",event_scheduler@localhost
147154,2527,I,"2022-11-28 09:01:12","Incentive Refresh Completed",event_scheduler@localhost,"2022-11-28 09:01:12","2022-11-28 09:01:12",event_scheduler@localhost
