PROCESS_CONTROL_ID,TRANSACTION_CONTROL_ID,LOG_MESSAGE_STATUS,LOG_MESSAGE_DATE,LOG_MESSAGE_TEXT,CREATED_BY,CREATION_DATE,LAST_UPDATE_DATE,LAST_UPDATED_BY
155080,-7001,I,"2022-11-28 07:08:10","Refresh SF50 Transaction : Update Future Employee Status Phase",event_scheduler@localhost,"2022-11-28 07:08:10","2022-11-28 07:08:10",event_scheduler@localhost
155081,-7001,I,"2022-11-28 07:08:11","Refresh SF50 Transaction : Change in Agency Code Subelement Phase I",event_scheduler@localhost,"2022-11-28 07:08:11","2022-11-28 07:08:11",event_scheduler@localhost
155082,-7001,I,"2022-11-28 07:08:12","Refresh SF50 Transaction : Change in Agency Code Subelement Phase II",event_scheduler@localhost,"2022-11-28 07:08:12","2022-11-28 07:08:12",event_scheduler@localhost
155083,-7001,I,"2022-11-28 07:08:16","Refresh SF50 Transaction : Change in Department Phase I",event_scheduler@localhost,"2022-11-28 07:08:16","2022-11-28 07:08:16",event_scheduler@localhost
155084,-7001,I,"2022-11-28 07:08:16","Refresh SF50 Transaction : Change in Department Phase II",event_scheduler@localhost,"2022-11-28 07:08:16","2022-11-28 07:08:16",event_scheduler@localhost
155085,-7001,I,"2022-11-28 07:08:40","Refresh SF50 Transaction : Change in Supervisory Level Phase I",event_scheduler@localhost,"2022-11-28 07:08:40","2022-11-28 07:08:40",event_scheduler@localhost
155086,-7001,I,"2022-11-28 07:08:40","Refresh SF50 Transaction : Change in Supervisory Level Phase II",event_scheduler@localhost,"2022-11-28 07:08:40","2022-11-28 07:08:40",event_scheduler@localhost
155087,-7001,I,"2022-11-28 07:08:47","Refresh SF50 Transaction : Insert SF50 Personnel Action",event_scheduler@localhost,"2022-11-28 07:08:47","2022-11-28 07:08:47",event_scheduler@localhost
155088,-12002,I,"2022-11-28 07:09:47","Refresh Staffing MSS Certificates :  Started",vcrawley@172.27.224.203,"2022-11-28 07:09:47","2022-11-28 07:09:47",vcrawley@172.27.224.203
155089,-12002,I,"2022-11-28 07:09:47","Refresh Staffing MSS Certificates :  Completed",vcrawley@172.27.224.203,"2022-11-28 07:09:47","2022-11-28 07:09:47",vcrawley@172.27.224.203
155090,-7001,I,"2022-11-28 07:18:04","Refresh SF50 Transaction : Insert SF50 Personnel Action Position Info",event_scheduler@localhost,"2022-11-28 07:18:04","2022-11-28 07:18:04",event_scheduler@localhost
155091,-7001,I,"2022-11-28 07:20:10","Refresh SF50 Transaction : Insert SF50 Personnel Action Org Location",event_scheduler@localhost,"2022-11-28 07:20:10","2022-11-28 07:20:10",event_scheduler@localhost
155092,-7001,I,"2022-11-28 07:22:56","Refresh SF50 Transaction : Insert SF50 Personnel Action Additional Info",event_scheduler@localhost,"2022-11-28 07:22:56","2022-11-28 07:22:56",event_scheduler@localhost
155093,-30001,I,"2022-11-28 07:26:46","Refresh OHRMBI BPR Transaction : Process Started",event_scheduler@localhost,"2022-11-28 07:26:46","2022-11-28 07:26:46",event_scheduler@localhost
155094,-30001,I,"2022-11-28 07:26:47","Refresh OHRMBI : Insert OHRMBI_BPR_EMPLOYEE_TRANSACTIONS14843",event_scheduler@localhost,"2022-11-28 07:26:47","2022-11-28 07:26:47",event_scheduler@localhost
155095,-30001,I,"2022-11-28 07:26:47","Refresh OHRMBI BPR Transaction : Process Completed",event_scheduler@localhost,"2022-11-28 07:26:47","2022-11-28 07:26:47",event_scheduler@localhost
155096,-7001,I,"2022-11-28 07:26:47","Refresh SF52 Requests :  Create Position ",event_scheduler@localhost,"2022-11-28 07:26:47","2022-11-28 07:26:47",event_scheduler@localhost
155097,-7001,I,"2022-11-28 07:27:12","Refresh SF52 MSS Requests :  Update Position ",event_scheduler@localhost,"2022-11-28 07:27:12","2022-11-28 07:27:12",event_scheduler@localhost
155098,-7001,I,"2022-11-28 07:28:19","Refresh SF52 Requests :  SF52 Requests",event_scheduler@localhost,"2022-11-28 07:28:19","2022-11-28 07:28:19",event_scheduler@localhost
155099,-7001,I,"2022-11-28 07:30:06","Refresh SF50 Transaction : Process Completed",event_scheduler@localhost,"2022-11-28 07:30:06","2022-11-28 07:30:06",event_scheduler@localhost
155100,-20001,I,"2022-11-28 07:30:06","Refresh GB ABS EVENT Table",event_scheduler@localhost,"2022-11-28 07:30:06","2022-11-28 07:30:06",event_scheduler@localhost
155101,-5001,S,"2022-11-28 07:30:22","NHRDW_GP_ABS_EVENT_XFER_DEL - Rows Inserted: 19450",event_scheduler@localhost,"2022-11-28 07:30:22","2022-11-28 07:30:22",event_scheduler@localhost
155102,-5001,S,"2022-11-28 07:30:32","NHRDW_GP_ABS_EVENT - Rows Deleted: 19450",event_scheduler@localhost,"2022-11-28 07:30:32","2022-11-28 07:30:32",event_scheduler@localhost
155103,-5001,S,"2022-11-28 07:30:36","NHRDW_GP_ABS_EVENT - Rows Inserted: 19450",event_scheduler@localhost,"2022-11-28 07:30:36","2022-11-28 07:30:36",event_scheduler@localhost
155104,-5001,S,"2022-11-28 07:30:56","NHRDW_GP_ABS_SS_STA_XFER_DEL - Rows Inserted: 41032",event_scheduler@localhost,"2022-11-28 07:30:56","2022-11-28 07:30:56",event_scheduler@localhost
155105,-5001,S,"2022-11-28 07:31:10","NHRDW_GP_ABS_SS_STA - Rows Deleted: 41032",event_scheduler@localhost,"2022-11-28 07:31:10","2022-11-28 07:31:10",event_scheduler@localhost
155106,-5001,S,"2022-11-28 07:31:13","NHRDW_GP_ABS_SS_STA - Rows Inserted: 41032",event_scheduler@localhost,"2022-11-28 07:31:13","2022-11-28 07:31:13",event_scheduler@localhost
155107,-1,I,"2022-11-28 07:31:13","Process Step 10 StartedGSASH2022-11-28",event_scheduler@localhost,"2022-11-28 07:31:13","2022-11-28 07:31:13",event_scheduler@localhost
155108,-1,I,"2022-11-28 07:31:13","Process Step 20 : Snapshot CursorGSASH2022-11-28",event_scheduler@localhost,"2022-11-28 07:31:13","2022-11-28 07:31:13",event_scheduler@localhost
